City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Hay River,CA,2021-07-18 15:06:04,60.8156,-115.7999,54.7,60,87,2.13
279,Coffs Harbour,AU,2021-07-18 15:06:04,-30.3,153.1333,46.13,100,7,3.44
280,Cidreira,BR,2021-07-18 15:06:05,-30.1811,-50.2056,52.88,51,0,24.25
281,Voskresenskoye,RU,2021-07-18 15:06:05,56.8381,45.4317,82.44,44,8,5.14
282,Mayuge,UG,2021-07-18 15:06:05,0.4597,33.4803,73.22,52,87,11.16
283,Portland,US,2021-07-18 15:02:56,45.5234,-122.6762,63.91,76,1,1.99
284,Yining,CN,2021-07-18 15:06:06,29.0361,114.5636,75.85,94,55,2.64
285,Turbat,PK,2021-07-18 15:01:39,26.0023,63.044,90.55,56,1,18.45
286,Lebu,CL,2021-07-18 15:06:06,-37.6167,-73.65,51.69,58,0,12.64
287,Ibb,YE,2021-07-18 15:06:07,13.9667,44.1833,71.2,58,99,16.37
288,Belaya Gora,RU,2021-07-18 15:06:07,68.5333,146.4167,41.23,70,76,4.0
289,Kirakira,SB,2021-07-18 15:02:06,-10.4544,161.9205,78.51,84,99,10.47
290,Sadabad,IN,2021-07-18 15:06:07,27.45,78.05,80.91,77,100,3.74
291,Emba,KZ,2021-07-18 15:06:08,48.8264,58.1442,89.38,29,82,7.63
292,Souris,CA,2021-07-18 15:06:09,49.6172,-100.2612,77.74,44,0,8.66
293,Sola,VU,2021-07-18 15:06:09,-13.8833,167.55,79.75,73,46,15.19
294,Gamba,GA,2021-07-18 15:06:09,-2.65,10.0,75.47,71,7,11.52
