City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
227,Labuhan,ID,-6.8844,112.2051,84.99,63,36,4.29,scattered clouds
228,Ukhta,RU,63.5671,53.6835,62.49,60,17,3.22,few clouds
229,Mawlaik,MM,23.6333,94.4167,80.74,94,93,3.36,overcast clouds
230,Vardo,NO,70.3705,31.1107,44.8,91,100,15.08,light rain
231,Barrow,US,71.2906,-156.7887,37.42,87,90,20.71,mist
232,Hokitika,NZ,-42.7167,170.9667,53.56,77,100,7.29,overcast clouds
233,Kirakira,SB,-10.4544,161.9205,83.46,74,29,10.45,scattered clouds
234,Marzuq,YE,14.4,46.4667,74.26,74,25,7.45,scattered clouds
235,Medzev,SK,48.7004,20.8937,61.75,91,34,5.21,scattered clouds
236,Stornoway,GB,58.2093,-6.3865,53.92,87,90,2.3,overcast clouds
237,Griffith,US,41.5284,-87.4237,73.33,83,75,1.99,broken clouds
238,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,36,18.41,scattered clouds
239,Wegrow,PL,52.3995,22.0163,64.6,86,81,6.06,broken clouds
240,Moussoro,TD,13.6408,16.4901,86.13,51,93,8.03,overcast clouds
241,Geraldton,AU,-28.7667,114.6,67.12,72,75,19.57,broken clouds
242,Pangnirtung,CA,66.1451,-65.7125,42.37,97,100,5.01,light rain
243,Longyearbyen,SJ,78.2186,15.6401,39.61,82,97,2.89,overcast clouds
244,Wattegama,LK,6.7989,81.4808,83.32,56,97,3.94,overcast clouds
245,Chegdomyn,RU,51.1167,133.0167,80.65,74,4,5.88,clear sky
246,Joshimath,IN,30.5667,79.5667,72.01,91,100,0.25,overcast clouds
247,Castlerea,IE,53.7667,-8.5,63.01,93,4,4.23,clear sky
248,Severo-Kurilsk,RU,50.6789,156.125,54.54,88,74,6.24,broken clouds
249,Charters Towers,AU,-20.1,146.2667,71.53,23,39,13.47,scattered clouds
250,Murgab,TM,37.4966,61.9714,80.47,36,0,4.61,clear sky
251,Camacupa,AO,-12.0167,17.4833,52.47,46,0,3.04,clear sky
252,Tezu,IN,27.9167,96.1667,88.21,71,85,3.02,overcast clouds
253,Esperance,AU,-33.8667,121.9,60.64,86,98,17.72,overcast clouds
254,Mosetse,BW,-20.75,26.65,49.98,41,0,3.4,clear sky
255,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,11.5,clear sky
256,Tecoanapa,MX,16.5167,-98.75,82.15,77,100,5.12,overcast clouds
257,Soure,BR,-0.7167,-48.5233,78.76,83,40,9.06,scattered clouds
258,San Francisco,US,37.7749,-122.4194,75.96,83,20,1.99,few clouds
259,Ranong,TH,9.9658,98.6348,78.73,87,100,15.05,light rain
260,Nagayo,JP,32.8242,129.8861,87.15,51,75,19.57,broken clouds
261,Gastello,RU,49.1167,142.9667,62.98,81,100,10.16,overcast clouds
262,Ilulissat,GL,69.2167,-51.1,39.92,75,83,6.55,broken clouds
263,Grindavik,IS,63.8424,-22.4338,51.91,100,90,16.11,light intensity drizzle
264,Teknaf,BD,20.8624,92.3058,83.97,79,81,10.98,broken clouds
265,Brigantine,US,39.4101,-74.3646,79.0,84,1,5.75,haze
266,Buala,SB,-8.145,159.5921,80.58,82,100,7.67,light rain
267,Leningradskiy,RU,69.3833,178.4167,38.1,71,26,9.04,scattered clouds
268,Santa Rosa,PH,14.3122,121.1114,76.98,83,100,14.23,moderate rain
269,Egvekinot,RU,66.3167,-179.1667,43.48,67,68,10.85,broken clouds
270,Coihaique,CL,-45.5752,-72.0662,42.75,87,0,3.44,clear sky
271,North Branch,US,45.5113,-92.9802,79.07,84,69,9.91,broken clouds
272,Inuvik,CA,68.3499,-133.7218,85.06,43,1,8.05,clear sky
273,Hengyang,CN,26.8881,112.615,88.3,65,100,3.6,overcast clouds
274,Oistins,BB,13.0667,-59.5333,82.49,74,20,23.02,few clouds
275,Touros,BR,-5.1989,-35.4608,74.3,85,1,13.42,clear sky
276,Terney,RU,45.0503,136.6092,76.8,77,70,5.77,broken clouds
277,Marsh Harbour,BS,26.5412,-77.0636,83.03,78,100,11.59,overcast clouds
278,Nargana,PA,9.4428,-78.5906,82.13,84,48,13.56,scattered clouds
279,Svetlogorsk,BY,52.6333,29.7333,61.79,66,100,9.35,overcast clouds
280,Vanimo,PG,-2.6741,141.3028,85.87,63,31,4.25,scattered clouds
281,Port Lincoln,AU,-34.7333,135.8667,54.07,57,100,9.71,overcast clouds
282,Cervo,ES,43.6702,-7.4101,62.64,91,8,4.92,clear sky
283,Inirida,CO,3.8653,-67.9239,72.16,97,83,1.19,broken clouds
284,Sola,VU,-13.8833,167.55,79.43,78,25,8.55,scattered clouds
285,Amboasary,MG,-25.0333,46.3833,67.84,84,2,4.12,clear sky
286,Necochea,AR,-38.5473,-58.7368,47.32,85,1,4.59,clear sky
287,Gamba,GA,-2.65,10.0,70.36,90,39,6.6,scattered clouds
288,Limoux,FR,42.9167,2.1667,70.16,61,51,4.29,broken clouds
289,Lebu,CL,-37.6167,-73.65,52.03,95,100,7.29,overcast clouds
290,Emba,KZ,48.8264,58.1442,82.74,30,19,12.03,few clouds
291,Erzin,TR,36.9559,36.2,70.32,82,33,0.98,scattered clouds
292,Enugu,NG,6.4402,7.4943,74.59,88,75,2.3,broken clouds
293,Parana,AR,-31.732,-60.5238,49.57,64,0,8.68,clear sky
294,San Jeronimo,PE,-11.9472,-75.2829,49.06,75,98,1.81,overcast clouds
295,Saint George,US,37.1041,-113.5841,92.35,35,1,27.63,clear sky
296,Vostok,RU,46.4856,135.8833,84.42,58,90,3.06,overcast clouds
297,Avarua,CK,-21.2078,-159.775,78.85,83,75,13.8,light rain
298,Lasa,IT,46.6166,10.7002,63.86,76,0,3.2,clear sky
299,Truth Or Consequences,US,33.1284,-107.2528,89.83,23,1,8.05,clear sky
300,Bismarck,US,46.8083,-100.7837,87.64,47,1,4.0,clear sky
301,Inhambane,MZ,-23.865,35.3833,66.13,89,0,7.16,clear sky
302,Taseyevo,RU,57.2169,94.8978,72.36,49,88,2.77,overcast clouds
303,Andra,RU,62.5147,65.8878,62.94,95,100,4.45,light rain
304,Kijang,KR,35.2442,129.2139,89.33,71,100,15.61,overcast clouds
305,Spirit River,CA,55.7833,-118.8361,64.92,80,32,7.76,scattered clouds
306,Semikarakorsk,RU,47.5194,40.8112,74.21,58,0,6.24,clear sky
307,Mgandu,TZ,-5.95,34.1333,54.82,72,1,8.34,clear sky
308,Batemans Bay,AU,-35.7167,150.1833,60.1,41,6,11.5,clear sky
309,Santa Cruz,BO,-17.8,-63.1667,56.66,41,99,6.91,overcast clouds
310,Kindu,CD,-2.95,25.95,68.83,57,18,2.39,few clouds
311,Portland,US,45.5234,-122.6762,78.37,49,1,1.99,clear sky
312,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
313,Garowe,SO,8.4054,48.4845,73.36,59,10,21.85,clear sky
314,Nanortalik,GL,60.1432,-45.2371,46.72,95,100,13.06,moderate rain
315,Oktyabrskoye,RU,43.0645,44.7417,64.54,88,0,6.71,clear sky
316,Salalah,OM,17.0151,54.0924,76.42,93,80,11.48,broken clouds
317,Pacatuba,BR,-3.9842,-38.6203,79.97,91,25,4.52,scattered clouds
318,Sinnamary,GF,5.3833,-52.95,78.01,85,24,5.1,few clouds
319,Amantea,IT,39.1332,16.0746,71.55,75,0,2.62,clear sky
320,Sinnar,SD,13.5691,33.5672,72.14,91,100,12.03,overcast clouds
321,Saint-Philippe,RE,-21.3585,55.7679,69.35,76,52,14.38,broken clouds
322,Burnie,AU,-41.0667,145.9167,53.35,75,64,11.63,broken clouds
323,Mehamn,NO,71.0357,27.8492,43.72,94,100,24.4,overcast clouds
324,Oskemen,KZ,49.9565,82.6119,66.16,88,90,6.71,overcast clouds
325,Oranjestad,AW,12.524,-70.027,82.35,78,20,20.71,few clouds
326,Villazon,BO,-22.0866,-65.5942,41.2,41,52,4.7,broken clouds
327,Tarakan,ID,3.3,117.6333,78.3,83,40,5.75,scattered clouds
328,Fortuna,US,40.5982,-124.1573,61.72,80,75,12.66,broken clouds
329,Slangerup,DK,55.85,12.1833,62.74,82,98,1.01,overcast clouds
330,Gizo,SB,-8.103,156.8419,81.18,80,92,10.27,moderate rain
331,Barcelos,PT,41.5388,-8.6151,64.92,96,19,2.01,few clouds
332,Guerrero Negro,MX,27.9769,-114.0611,69.87,82,2,18.54,clear sky
333,Kaohsiung,TW,22.6163,120.3133,87.75,77,75,5.01,broken clouds
334,Cockburn Town,TC,21.4612,-71.1419,81.77,83,36,20.27,scattered clouds
335,Torbay,CA,47.6666,-52.7314,67.75,97,90,13.8,light rain
336,Rio Grande,BR,-32.035,-52.0986,47.28,76,0,10.02,clear sky
337,Porto Velho,BR,-8.7619,-63.9039,71.65,73,0,0.0,clear sky
338,Pokaran,IN,26.9167,71.9167,84.18,69,80,16.87,broken clouds
339,Pevek,RU,69.7008,170.3133,43.21,71,87,6.85,overcast clouds
340,Palauig,PH,15.435,119.9045,81.01,87,100,8.99,light rain
341,Nouakchott,MR,18.0858,-15.9785,78.73,87,87,12.86,overcast clouds
342,Kemijarvi,FI,66.7131,27.4306,43.66,74,37,8.01,scattered clouds
343,Dudinka,RU,69.4058,86.1778,60.39,47,0,4.94,clear sky
344,Roma,US,43.2128,-75.4557,67.12,93,20,0.0,few clouds
345,Tomakomai,JP,42.6369,141.6033,91.72,69,20,10.36,few clouds
346,Long,TH,18.0761,99.8326,83.64,96,100,3.29,overcast clouds
